PORT SCAN REPORT ON TARGET: 192.168.56.104
 Date: 2026--06--23--17--34--48
--------------------------------------------------
[-] Port 80    | STATUS: CLOSED
[-] Port 81    | STATUS: CLOSED
[-] Port 82    | STATUS: CLOSED
[-] Port 83    | STATUS: CLOSED
[-] Port 84    | STATUS: CLOSED
[-] Port 85    | STATUS: CLOSED
[-] Port 86    | STATUS: CLOSED
[-] Port 87    | STATUS: CLOSED
[-] Port 88    | STATUS: CLOSED
[-] Port 89    | STATUS: CLOSED
[-] Port 90    | STATUS: CLOSED
[-] Port 91    | STATUS: CLOSED
[-] Port 92    | STATUS: CLOSED
[-] Port 93    | STATUS: CLOSED
[-] Port 94    | STATUS: CLOSED
[-] Port 95    | STATUS: CLOSED
[-] Port 96    | STATUS: CLOSED
[-] Port 97    | STATUS: CLOSED
[-] Port 98    | STATUS: CLOSED
[-] Port 99    | STATUS: CLOSED
[-] Port 100   | STATUS: CLOSED
[-] Port 101   | STATUS: CLOSED
[-] Port 102   | STATUS: CLOSED
[-] Port 103   | STATUS: CLOSED
[-] Port 104   | STATUS: CLOSED
[-] Port 105   | STATUS: CLOSED
[-] Port 106   | STATUS: CLOSED
[-] Port 107   | STATUS: CLOSED
[-] Port 108   | STATUS: CLOSED
[-] Port 109   | STATUS: CLOSED
[-] Port 110   | STATUS: CLOSED
[-] Port 111   | STATUS: CLOSED
[-] Port 112   | STATUS: CLOSED
[-] Port 113   | STATUS: CLOSED
[-] Port 114   | STATUS: CLOSED
[-] Port 115   | STATUS: CLOSED
[-] Port 116   | STATUS: CLOSED
[-] Port 117   | STATUS: CLOSED
[-] Port 118   | STATUS: CLOSED
[-] Port 119   | STATUS: CLOSED
[-] Port 120   | STATUS: CLOSED
[-] Port 121   | STATUS: CLOSED
[-] Port 122   | STATUS: CLOSED
[-] Port 123   | STATUS: CLOSED
[-] Port 124   | STATUS: CLOSED
[-] Port 125   | STATUS: CLOSED
[-] Port 126   | STATUS: CLOSED
[-] Port 127   | STATUS: CLOSED
[-] Port 128   | STATUS: CLOSED
[-] Port 129   | STATUS: CLOSED
[-] Port 130   | STATUS: CLOSED
[-] Port 131   | STATUS: CLOSED
[-] Port 132   | STATUS: CLOSED
[-] Port 133   | STATUS: CLOSED
[-] Port 134   | STATUS: CLOSED
[-] Port 135   | STATUS: CLOSED
[-] Port 136   | STATUS: CLOSED
[-] Port 137   | STATUS: CLOSED
[-] Port 138   | STATUS: CLOSED
[-] Port 139   | STATUS: CLOSED
[-] Port 140   | STATUS: CLOSED
[-] Port 141   | STATUS: CLOSED
[-] Port 142   | STATUS: CLOSED
[-] Port 143   | STATUS: CLOSED
[-] Port 144   | STATUS: CLOSED
[-] Port 145   | STATUS: CLOSED
[-] Port 146   | STATUS: CLOSED
[-] Port 147   | STATUS: CLOSED
[-] Port 148   | STATUS: CLOSED
[-] Port 149   | STATUS: CLOSED
[-] Port 150   | STATUS: CLOSED
[-] Port 151   | STATUS: CLOSED
[-] Port 152   | STATUS: CLOSED
[-] Port 153   | STATUS: CLOSED
[-] Port 154   | STATUS: CLOSED
[-] Port 155   | STATUS: CLOSED
[-] Port 156   | STATUS: CLOSED
[-] Port 157   | STATUS: CLOSED
[-] Port 158   | STATUS: CLOSED
[-] Port 159   | STATUS: CLOSED
[-] Port 160   | STATUS: CLOSED
[-] Port 161   | STATUS: CLOSED
[-] Port 162   | STATUS: CLOSED
[-] Port 163   | STATUS: CLOSED
[-] Port 164   | STATUS: CLOSED
[-] Port 165   | STATUS: CLOSED
[-] Port 166   | STATUS: CLOSED
[-] Port 167   | STATUS: CLOSED
[-] Port 168   | STATUS: CLOSED
[-] Port 169   | STATUS: CLOSED
[-] Port 170   | STATUS: CLOSED
[-] Port 171   | STATUS: CLOSED
